year,Global,NHem,SHem,Tropics,Pacific,Atlantic,Indian
1903,17.515327924098536,15.12580965326698,14.947850535347408,23.365641938497927,20.08872248529634,17.603707529789904,26.20787496487751
1904,17.4400003952881,15.002192297930108,14.937486997707188,23.169931984511432,20.030627644083214,17.550492148742077,25.944172357052835
1905,17.576302898494536,14.942265016062729,15.230643563379976,23.47784627037887,20.193566543785593,17.699224700564862,26.142668120327073
1906,17.597375834343197,14.998455469849578,15.00072503623186,23.45618542899743,20.175325699788615,17.77414930623939,26.28138749558819
1907,17.539332724861467,15.033611461995395,15.27155386540612,23.745663732576293,20.10575199512943,17.731785705832646,26.159895117044016
1908,17.449728716025867,15.113407868719731,15.085895181702003,23.356358138690524,19.961285569914885,17.692657231025954,26.06689371584885
1909,17.432651095484495,15.0895758011701,15.393761404659672,23.94785524049079,19.905383780038363,17.719984851254203,26.105723051133737
1910,17.43030358337891,15.19070007202263,15.66754634834806,24.213019589245288,19.89152488445298,17.801950682679887,26.023603834656594
1911,17.45339315369499,14.996852083194286,15.270601050558964,23.5180297707283,19.979590979327778,17.683117268564008,26.06213543215761
1912,17.5920060556972,15.251814178414392,15.627256966911961,24.196096601528062,20.134987338477274,17.79277873427718,26.30061592538849
1913,17.561065174611485,15.427686391296886,15.90885792674084,24.394301556195405,20.064176912329064,17.852463239491353,26.182583634225
1914,17.68531555548213,15.42048285854115,15.60198066016089,24.004709952609563,20.216491062485773,17.918346314380443,26.39796965474231
1915,17.74357473502804,15.404040340957497,15.626249831345335,24.160826745898827,20.239477899949634,18.07868985121967,26.503767827709765
1916,17.570258455262366,15.437030428107374,15.716018974105559,24.328667155853786,20.032686699355992,17.95868232565763,26.21146401603141
1917,17.50937261041295,15.337961419056777,15.689053637574151,24.35017491270462,19.95980086182282,17.907887599029113,26.135017332016183
1918,17.603078481591464,15.217967289375707,15.58672792487065,23.913271160745882,20.15998475199926,17.865897420674123,26.1472495283508
1919,17.64321970819192,15.077444068998298,15.601818133113238,23.974694001917072,20.148561622277377,17.937758679400144,26.371395770887084
